XData,YData,ID,IsCentroid
713295.859261,5007444.99604,67018,0
713265.926952,5007377.15391,67019,0
713432.246781,5006694.96684,67020,0
713372.286485,5006688.47423,67021,0
713742.691627,5007012.07063,67026,0
713723.247408,5006994.7034,67027,0
713094.360857,5006556.62872,67042,0
713069.408186,5007157.99065,67044,0
713085.024709,5007322.91263,67045,0
713188.201018,5007319.4717,67046,0
713368.430046,5006994.91411,67051,0
713318.137801,5007067.79684,67052,0
713460.824849,5006697.17728,67055,0
713482.083088,5006775.97006,67056,0
713554.609642,5006886.59591,67057,0
713522.88865,5006967.10031,67058,0
713623.88599,5007017.22119,67061,0
713611.593618,5006988.61259,67062,0
713798.773797,5007415.55184,67067,0
713778.552895,5007371.39699,67068,0
713801.323674,5006934.88723,67069,0
713875.761174,5006975.07598,67070,0
713893.050581,5007271.08077,67071,0
713924.101856,5007306.86816,67072,0
714144.028135,5007052.30451,67082,0
714125.850929,5007090.22194,67083,0
714145.492706,5006709.37045,67084,0
714242.427922,5006751.79905,67085,0
714343.178287,5006859.23917,67088,0
714328.740607,5006916.18765,67089,0
713080.402208,5007080.9951,67116,0
713107.949742,5007079.68961,67117,0
713152.6895,5007178.27133,67119,0
713158.489018,5007157.93909,67120,0
713279.221945,5007119.93081,67131,0
713245.356483,5007161.21734,67132,0
713486.914255,5006809.35895,67137,0
713447.667491,5006640.67987,67138,0
713685.926868,5007160.29481,67144,0
713494.357695,5007057.74819,67145,0
713463.898714,5007144.38761,67146,0
713012.411699,5006649.39954,67161,0
713213.085087,5007383.0637,67162,0
713218.373976,5007451.65408,67163,0
713424.622961,5007248.03226,67166,0
713394.624017,5007330.19765,67167,0
713505.181714,5007441.31178,67168,0
713424.477328,5007443.60283,67169,0
713568.358861,5007027.32736,67171,0
713757.551702,5007325.1643,67176,0
713737.459989,5007279.05386,67177,0
714092.222999,5006711.26951,67179,0
713941.691859,5006674.6677,67180,0
713359.275536,5006644.80292,67210,0
713290.459979,5006637.61459,67211,0
713417.145613,5006833.89779,67216,0
713458.109121,5006842.70394,67217,0
713485.274401,5006951.15596,67218,0
713475.785875,5006902.85493,67219,0
713825.803813,5006699.8582,67223,0
713712.39383,5006694.91732,67224,0
713833.844489,5007112.22197,67225,0
713815.27075,5007094.56253,67226,0
713999.235105,5007211.53265,67232,0
713917.43791,5007160.22052,67233,0
713901.836033,5006790.49719,67234,0
713981.149095,5006830.88569,67235,0
714116.600952,5006699.93284,67237,0
714218.835893,5006623.88856,67240,0
714270.882569,5006766.31352,67242,0
714048.794839,5007237.51463,67258,0
714070.216205,5007515.56241,67261,0
714125.833606,5007442.01343,67262,0
714000.696449,5007328.30741,67263,0
713981.248956,5007367.1796,67264,0
714184.514595,5006971.37143,67272,0
713084.975927,5006649.51801,67282,0
713100.636797,5007460.09504,67290,0
713606.788589,5007395.45025,67300,0
713595.13958,5007401.91925,67301,0
713339.951074,5006552.9189,67313,0
713513.218362,5006854.96766,67327,0
